pmid|biotype|identifier_type
11416169|molecular interactions|pmid
"10976913|mint:MINT-6671852"|molecular interactions|pmid
17125594|disease|pmid
18288693|disease|pmid
3264697|disease|pmid
14718530|molecular interactions|pmid
10660620|molecular interactions|pmid
24642466|disease|pmid
"imex:IM-22217|24397932"|molecular interactions|
15543619|disease|pmid
19539691|disease|pmid
22864571|molecular interactions|pmid
18992153|molecular interactions|pmid
10338331|disease|pmid
22050462|disease|pmid
"21642537|doi:10.1073/pnas.1017669108|imex:IM-21370"|molecular interactions|pmid
15637079|molecular interactions|pmid
33157014|molecular interactions|pmid
22629304|molecular interactions|pmid
12914699|molecular interactions|pmid
"mint:MINT-8049157|21087455|mint:fj-10-0593.r2|doi:10.1111/j.1742-4658.2010.07935"|molecular interactions|
28951592|molecular interactions|pmid
22230324|disease|pmid
21180278|disease|pmid
12653731|disease|pmid
12138200|molecular interactions|pmid
11257228|molecular interactions|pmid
12102656|molecular interactions|pmid
14764593|molecular interactions|pmid
31547433|molecular interactions|pmid
29735693|molecular interactions|pmid
16219545|molecular interactions|pmid
18615712|molecular interactions|pmid
"10498895|mint:MINT-6731116"|molecular interactions|pmid
"18500823|imex:IM-19285"|molecular interactions|pmid
7487609|disease|pmid
18250061|disease|pmid
18418388|molecular interactions|pmid
17999359|disease|pmid
16739882|disease|pmid
"9490418|doi:10.1038/35661|imex:IM-24308"|molecular interactions|pmid
32123815|molecular interactions|pmid
21512576|disease|pmid
